title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Closer,2000,20,NA,8.7,6,0,0,0,0,0,14.5,14.5,0,14.5,45.5,,0,0,0,0,1,0,1
Beginning of the End,1957,76,NA,3.3,347,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Leon the Pig Farmer,1993,98,NA,5.6,157,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Get Ready to Be Boyzvoiced,2000,95,NA,6.9,274,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
Crack in the Mirror,1960,97,NA,6.9,29,0,0,0,4.5,14.5,14.5,24.5,24.5,24.5,4.5,,0,0,0,1,0,0,0
Stereo,1969,65,3500,4.7,86,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Korczak,1990,115,NA,7.1,108,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
All the Vermeers in New York,1990,87,250000,5.9,126,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,1,1,0,1,0
Zhong kui niang zi,1968,105,NA,7.8,15,0,0,0,0,0,4.5,24.5,44.5,14.5,14.5,,0,0,0,0,0,0,0
Raising Helen,2004,119,NA,5.7,2398,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,0,0
Puraido: Unmei no toki,1998,161,NA,6.1,19,4.5,4.5,4.5,4.5,0,4.5,24.5,4.5,24.5,24.5,,0,0,0,1,0,0,0
B.F.'s Daughter,1948,108,NA,5.2,78,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Trouble in the Air,1948,55,NA,5.1,6,0,0,0,14.5,45.5,14.5,0,0,0,14.5,,0,0,1,0,0,0,0
Sailor-fuku to kikanju,1981,131,NA,6.1,14,0,0,0,0,14.5,14.5,24.5,34.5,4.5,4.5,,1,0,0,0,0,1,0
P.U.N.K.S.,1999,115,NA,2.5,220,44.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG,0,0,1,0,0,0,0
Barravento,1962,78,NA,6.7,24,4.5,4.5,0,4.5,0,0,24.5,34.5,14.5,24.5,,0,0,0,1,0,0,0
Albatross,1996,104,NA,5.8,6,0,0,0,0,14.5,64.5,0,0,0,14.5,,1,0,0,1,0,0,0
Carry On Henry,1970,89,NA,5.7,247,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,1,0
Tejing xinrenlei,1999,113,NA,6.1,495,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,R,1,0,1,0,0,0,0
East of Borneo,1931,77,NA,5.3,14,0,0,14.5,14.5,14.5,24.5,24.5,14.5,0,0,,0,0,0,0,0,0,0
Orphans' Picnic,1936,8,NA,6.4,44,0,0,4.5,4.5,4.5,34.5,24.5,14.5,4.5,4.5,,0,1,1,0,0,0,1
Hidden Assassin,1995,89,11000000,4.4,245,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,1,0,0,0
Picore,2003,3,NA,5.4,6,0,0,14.5,0,0,45.5,0,14.5,0,14.5,,0,1,0,0,0,0,1
Body Waves,1992,80,NA,2.9,58,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
Fan yi cho,2000,111,NA,5.9,77,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,14.5,,0,0,0,0,0,1,0
