title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"Thanassis kai to katarameno fidi, O",1982,86,NA,7.2,5,0,0,0,0,0,24.5,0,44.5,0,44.5,,0,0,1,0,0,1,0
"Dernier chaperon rouge, Le",1996,26,NA,7.6,80,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,0,0,0,0,1
Icarus Descending,1998,80,NA,9.3,12,0,0,0,0,0,0,4.5,4.5,24.5,45.5,,0,0,0,0,0,0,0
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",2003,107,NA,8.4,3416,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG-13,0,0,0,0,1,0,0
Snow-White,1933,7,NA,8.1,90,0,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,,0,1,0,0,0,0,1
"Bobo, The",1967,105,NA,4.8,118,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
Monsieur,1990,90,NA,3.6,13,14.5,0,0,14.5,14.5,4.5,4.5,0,0,34.5,,0,0,0,0,0,0,0
WatchUsDie.com,2001,101,NA,4.2,13,34.5,4.5,14.5,14.5,0,4.5,4.5,0,0,14.5,,0,0,0,0,0,0,0
Something About Love,1988,93,NA,6.9,14,0,0,0,4.5,0,14.5,45.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Big Rascal,1979,93,NA,6.5,6,0,0,0,0,34.5,0,45.5,0,0,14.5,,1,0,0,1,0,0,0
Madame Edouard,2004,97,NA,4.6,38,4.5,4.5,14.5,4.5,4.5,24.5,14.5,14.5,4.5,0,,0,0,1,0,0,0,0
"Scopone scientifico, Lo",1972,116,NA,7.8,199,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,45.5,,0,0,1,0,0,0,0
Frontier Days,1945,17,NA,4.9,8,14.5,0,14.5,24.5,34.5,14.5,0,0,0,0,,0,0,0,0,0,0,1
MVP: Most Valuable Primate,2000,93,NA,4.8,196,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,PG,0,0,1,0,0,0,0
"Day of the Dolphin, The",1973,104,8500000,5.6,397,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Peter och Petra,1989,76,NA,5.2,13,0,0,0,24.5,14.5,14.5,14.5,24.5,0,4.5,,0,0,0,0,0,0,0
Goh-hime,1992,142,NA,6.1,18,0,0,0,14.5,4.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
Auditions,1978,82,NA,4.7,26,4.5,14.5,14.5,4.5,24.5,14.5,4.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
